x,y,z
31.49,-13.18,984.56
31.07,-14.22,984.07
31.31,-14.47,984.68
30.09,-13.12,984.80
30.40,-14.04,985.66
30.88,-12.57,985.05
30.76,-13.37,985.72
31.19,-13.24,985.35
32.59,-12.82,984.86
34.00,-12.88,984.80
30.03,-12.94,983.70
31.19,-13.61,984.44
31.13,-12.27,983.09
30.94,-12.63,984.80
29.48,-13.92,983.09
30.58,-12.39,988.16
29.91,-14.65,982.30
30.70,-12.51,985.66
31.31,-13.37,984.80
30.58,-12.63,984.19
29.72,-12.15,984.19
30.27,-13.49,984.37
31.74,-13.73,984.68
30.64,-12.39,984.74
31.56,-12.39,986.51
29.54,-12.33,983.58
31.43,-13.79,986.33
31.31,-12.51,983.83
30.21,-11.60,985.35
31.74,-12.82,985.29
31.19,-14.47,983.52
30.52,-13.98,985.17
31.68,-12.57,984.37
31.56,-11.60,984.86
32.59,-12.94,984.86
31.07,-14.34,984.37
31.25,-12.27,984.74
31.01,-12.51,984.37
30.88,-11.60,985.11
31.25,-13.24,984.56
31.86,-13.98,984.56
30.64,-12.02,984.13
30.46,-12.21,984.37
32.04,-14.04,984.56
31.19,-13.79,985.35
30.76,-12.70,985.29
28.87,-13.24,984.31
31.13,-13.31,984.62
29.66,-12.70,984.74
30.58,-13.37,985.84
30.88,-10.86,983.58
29.72,-13.61,983.76
31.86,-13.92,983.83
30.52,-13.18,984.19
31.56,-13.37,986.08
30.58,-12.51,985.23
29.11,-12.33,985.41
30.58,-12.39,987.24
30.82,-13.85,984.62
30.88,-14.65,985.84
31.62,-11.72,984.01
29.30,-14.71,983.95
30.15,-13.55,988.16
31.19,-10.80,984.74
34.00,-12.15,984.62
30.46,-12.76,985.53
29.54,-15.44,982.42
31.07,-12.27,986.88
31.49,-11.72,984.56
30.40,-11.72,984.25
30.64,-12.02,984.44
33.69,-14.53,985.23
30.15,-13.98,987.06
28.56,-11.84,985.41
32.78,-13.31,984.56
31.01,-12.57,983.34
29.36,-12.94,985.35
31.80,-13.31,985.11
29.42,-15.38,984.44
31.49,-13.73,984.62
29.30,-14.83,986.02
30.70,-12.88,985.11
30.27,-12.45,984.50
29.11,-12.45,988.04
27.71,-15.26,982.60
30.21,-12.51,985.17
29.85,-11.35,984.74
30.15,-13.31,984.13
30.58,-12.76,986.02
30.27,-12.70,984.68
30.46,-14.10,986.33
31.86,-11.72,983.52
29.66,-12.70,985.41
30.94,-14.22,984.31
29.79,-13.49,982.97
32.35,-10.74,985.90
30.27,-12.27,984.31
29.91,-13.18,985.78
27.89,-13.49,984.07
31.13,-10.99,986.82
30.58,-12.39,985.84
31.31,-11.23,986.82
31.56,-13.43,985.29
29.30,-14.34,982.18
29.66,-13.73,984.31
30.70,-13.24,986.02
29.97,-12.45,983.95
31.07,-12.08,983.89
30.82,-13.12,984.31
30.76,-13.24,983.89
28.69,-13.00,984.01
32.23,-13.31,983.89
32.41,-14.10,985.84
32.10,-11.90,983.40
32.29,-12.45,984.25
31.01,-13.49,987.24
31.01,-15.50,983.09
29.72,-12.63,984.92
29.79,-13.24,985.05
31.49,-12.33,984.74
31.49,-13.98,984.80
30.46,-12.63,983.89
29.66,-13.37,985.35
31.01,-12.70,984.37
31.62,-12.51,983.46
31.49,-11.84,984.68
30.82,-11.66,985.72
30.15,-13.00,984.44
31.13,-13.18,984.56
30.46,-12.45,985.90
30.27,-13.31,984.44
30.15,-12.94,985.29
31.74,-11.96,984.62
30.21,-13.61,983.89
31.31,-12.57,984.25
30.52,-13.98,984.68
29.66,-13.61,987.43
30.33,-11.05,983.15
31.43,-12.82,983.28
30.09,-12.82,984.19
29.79,-13.98,982.36
29.97,-12.88,983.22
30.52,-14.83,984.44
30.15,-12.21,982.85
32.10,-13.43,984.19
30.88,-13.24,983.64
30.52,-13.24,986.02
29.42,-12.45,985.72
32.35,-14.59,984.01
31.13,-12.21,984.31
30.82,-13.43,983.09
31.19,-12.70,984.56
30.64,-13.49,983.40
31.07,-13.43,984.74
32.29,-12.70,984.92
29.60,-13.61,983.64
29.91,-12.51,984.37
30.09,-14.10,986.39
30.94,-12.39,985.29
30.52,-13.79,985.72
31.80,-13.31,984.37
29.05,-13.24,984.01
32.29,-12.39,983.76
31.25,-13.49,984.74
30.46,-12.82,984.37
31.49,-13.61,986.33
30.70,-11.90,984.07
29.79,-14.34,983.83
32.71,-12.45,984.56
30.21,-10.56,985.11
29.66,-12.51,984.80
30.03,-15.20,981.87
31.13,-11.41,985.47
29.79,-12.15,984.19
29.91,-11.35,985.78
31.74,-13.73,983.95
32.23,-14.22,982.42
30.88,-13.49,984.50
30.15,-13.12,985.47
31.37,-14.83,984.50
32.10,-10.56,984.80
30.03,-11.96,984.74
28.26,-12.70,983.52
31.19,-12.45,984.31
30.70,-13.55,985.78
30.52,-12.94,985.05
30.88,-11.78,984.86
32.35,-12.15,985.11
32.47,-12.27,982.73
32.41,-14.89,986.15
29.42,-13.92,984.37
30.88,-14.34,984.13
30.33,-11.05,984.74
30.03,-11.29,984.01
30.58,-13.67,981.69
30.09,-14.16,984.31
31.13,-13.00,985.17
32.53,-13.79,983.70
31.37,-11.78,969.73
31.68,-13.00,983.83
32.17,-14.53,985.05
30.94,-12.82,985.84
30.46,-14.04,984.07
29.79,-12.70,984.31
30.88,-13.24,984.74
30.88,-12.76,985.29
29.30,-12.33,984.92
31.07,-13.43,985.60
29.85,-13.06,983.58
30.64,-13.92,984.44
31.92,-11.90,983.28
32.10,-11.96,982.79
31.13,-11.29,985.41
28.56,-13.67,983.89
30.88,-14.22,986.33
30.21,-13.73,982.18
32.59,-12.39,984.56
30.76,-13.06,983.34
32.90,-14.59,984.56
31.56,-12.57,985.05
30.21,-13.92,985.35
30.27,-15.32,985.05
30.94,-13.43,985.72
30.40,-12.39,984.56
30.52,-12.45,984.07
32.78,-12.39,986.39
30.58,-14.65,985.29
28.63,-13.24,986.21
31.86,-13.24,985.47
30.64,-13.18,984.68
30.15,-11.90,985.29
31.56,-13.18,986.39
31.25,-12.21,985.90
31.80,-12.02,982.73
32.23,-12.88,985.84
30.70,-12.70,984.01
31.68,-12.63,984.80
31.49,-12.76,984.80
