gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
1.352 1.329 -0.5835571 0.11947632 0.6017761 0.0326233 0.006210327 -0.0043640137
1.372 1.349 -0.041915894 0.09060669 0.7110748 0.0326233 0.006210327 -0.0043640137
1.396 1.369 0.44818115 0.25334167 0.76582336 0.0326233 0.006210327 -0.0043640137
1.412 1.390 0.5883789 0.26037598 0.75553894 0.0326233 0.006210327 -0.0043640137
1.432 1.410 0.53344727 -9.918213E-4 0.60017395 0.0326233 0.006210327 -0.0043640137
1.452 1.430 0.4154358 -0.39900208 0.4402008 0.0326233 0.006210327 -0.0043640137
1.473 1.450 0.29847717 -0.4284973 0.44044495 0.0326233 0.006210327 -0.0043640137
1.492 1.470 0.107940674 -0.24188232 0.43019104 0.0326233 0.006210327 -0.0043640137
1.512 1.490 -0.06329346 -0.20739746 0.5217438 0.0326233 0.006210327 -0.0043640137
1.532 1.510 -0.13825989 -0.12156677 0.5918884 0.0326233 0.006210327 -0.0043640137
1.552 1.531 -0.19657898 -0.0071411133 0.36254883 0.0326233 0.006210327 -0.0043640137
1.572 1.551 -0.10282898 0.13119507 0.15322876 0.0326233 0.006210327 -0.0043640137
1.592 1.571 0.12553406 0.06806946 0.18287659 0.0326233 0.006210327 -0.0043640137
1.612 1.591 0.26246643 0.031295776 0.3189087 0.0326233 0.006210327 -0.0043640137
1.632 1.611 0.09953308 0.10336304 0.2774353 0.0326233 0.006210327 -0.0043640137
1.652 1.631 -0.123703 0.10551453 0.113983154 0.0326233 0.006210327 -0.0043640137
1.672 1.651 -0.19068909 -0.02583313 -0.025177002 0.0326233 0.006210327 -0.0043640137
1.692 1.672 -0.1312561 -0.19871521 -0.048324585 0.0326233 0.006210327 -0.0043640137
1.712 1.692 -0.06071472 -0.28494263 -0.046066284 0.0326233 0.006210327 -0.0043640137
1.732 1.712 -0.058425903 -0.40330505 -0.31732178 0.0326233 0.006210327 -0.0043640137
1.752 1.732 0.010192871 -0.58088684 -0.8053589 0.0326233 0.006210327 -0.0043640137
1.775 1.752 0.08773804 -0.6620178 -1.0101013 0.0326233 0.006210327 -0.0043640137
1.792 1.772 -0.0025177002 -0.3980255 -0.7812195 0.0326233 0.006210327 -0.0043640137
1.812 1.792 -0.08148193 -0.018493652 -0.24433899 0.0326233 0.006210327 -0.0043640137
1.831 1.813 -0.18844604 0.25637817 -0.19476318 0.0326233 0.006210327 -0.0043640137
1.852 1.833 -0.14875793 0.25016785 -0.33457947 0.0326233 0.006210327 -0.0043640137
1.872 1.853 0.011230469 0.002105713 6.4086914E-4 0.0326233 0.006210327 -0.0043640137
1.892 1.873 0.123062134 -0.366333 0.0016326904 0.0326233 0.006210327 -0.0043640137
1.912 1.893 0.31446838 -0.616745 -0.20852661 0.0326233 0.006210327 -0.0043640137
1.932 1.913 0.62158203 -0.6005249 -0.18965149 0.0326233 0.006210327 -0.0043640137
1.951 1.933 1.0845947 -0.6431427 -0.13078308 0.0326233 0.006210327 -0.0043640137
1.972 1.954 1.2978668 -0.7757416 -0.07936096 0.0326233 0.006210327 -0.0043640137
