gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
4.508 4.484 -0.0025939941 -0.00289917 0.0033874512
4.528 4.504 -0.0036315918 0.009567261 0.0033874512
4.547 4.524 -0.0026855469 -2.2888184E-4 0.0033416748
4.569 4.545 -0.004547119 0.013290405 0.0023498535
4.589 4.565 0.0011901855 -0.01159668 0.0033569336
4.609 4.585 -0.012756348 0.0178833 0.0023651123
4.628 4.605 -0.0011444092 -0.017166138 0.0033416748
4.648 4.625 -0.015014648 2.2888184E-4 0.002090454
4.670 4.645 -0.009262085 0.0020141602 -7.6293945E-4
4.689 4.665 0.0049591064 0.0152282715 0.0013275146
4.709 4.686 0.0051727295 0.0022888184 0.002319336
4.727 4.706 -0.0051574707 0.016601563 0.002243042
4.749 4.726 0.0026397705 0.00793457 0.0015869141
4.773 4.746 0.001083374 0.0019073486 0.004119873
4.787 4.766 -0.0051116943 0.009765625 2.89917E-4
4.807 4.786 0.0015869141 0.010559082 0.0012512207
4.828 4.806 2.89917E-4 0.014343262 0.0011444092
4.849 4.826 -0.0039520264 -0.01361084 3.2043457E-4
4.871 4.847 -0.01083374 0.028915405 0.0012512207
4.889 4.867 0.0087890625 0.00869751 0.0013885498
4.910 4.887 0.003189087 -0.007461548 0.0019378662
4.929 4.907 -0.01576233 -0.0021972656 -5.950928E-4
4.948 4.927 -0.0059814453 0.031677246 0.001739502
4.971 4.947 0.01966858 -0.00630188 0.0043182373
4.989 4.967 -0.003540039 6.1035156E-4 0.0032348633
5.008 4.988 -0.012527466 0.003982544 0.0024871826
5.027 5.008 0.0031585693 0.005126953 0.0033874512
5.053 5.028 -0.002090454 -0.005126953 0.0027770996
5.068 5.048 -0.007904053 0.008331299 5.493164E-4
5.094 5.068 -0.0037078857 0.00579834 0.002319336
5.110 5.088 -0.007461548 0.0032348633 0.002319336
5.132 5.108 5.79834E-4 0.007003784 0.0021209717
5.150 5.129 0.0028381348 0.0066986084 0.0017089844
5.170 5.149 -0.0034637451 0.012588501 0.0036010742
5.190 5.169 -2.89917E-4 9.613037E-4 0.0035858154
5.209 5.189 -0.0074768066 -0.0011901855 8.69751E-4
5.245 5.209 -0.005340576 0.0036773682 0.0031738281
5.249 5.229 -0.0068511963 -0.010559082 0.0019073486
5.275 5.249 -0.013946533 0.021728516 0.0011444092
5.293 5.270 0.006942749 0.012130737 0.0037231445
5.311 5.290 0.005432129 0.0010223389 0.0017700195
5.341 5.310 -0.010055542 0.0035705566 0.0031433105
5.352 5.330 -0.00592041 0.019226074 0.0025482178
5.374 5.350 0.0050964355 7.6293945E-4 0.0033874512
5.390 5.370 -0.007858276 0.017089844 0.003112793
5.411 5.390 -0.0018005371 0.004699707 0.0031738281
5.435 5.411 -0.0028533936 0.0028076172 0.0047302246
5.450 5.431 -0.0038757324 -0.0020141602 0.0027770996
5.471 5.451 -0.0038146973 0.004638672 0.004760742
5.491 5.471 -0.0024414063 1.9836426E-4 0.0055236816
5.516 5.491 -6.5612793E-4 0.010879517 0.00491333
5.532 5.511 0.0045776367 -0.010223389 0.0033874512
5.549 5.531 -0.007461548 0.0011291504 0.0036315918
5.568 5.552 -0.0047912598 0.003250122 0.004135132
5.592 5.572 1.2207031E-4 0.012161255 0.0037384033
5.609 5.592 0.0035552979 0.004638672 0.0034332275
5.632 5.612 -0.0018310547 0.007003784 0.001876831
5.652 5.632 -0.0030670166 3.2043457E-4 0.0031585693
5.673 5.652 -0.0014648438 0.012130737 0.0026855469
5.691 5.672 0.0023040771 0.0024414063 0.0019226074
5.712 5.693 -0.0018463135 0.0063476563 -1.373291E-4
5.735 5.713 -8.239746E-4 0.0048675537 0.0012512207
5.756 5.733 0.0012207031 0.007461548 0.0012512207
5.773 5.753 0.002456665 -1.5258789E-4 9.1552734E-5
5.806 5.773 -8.544922E-4 0.008590698 -0.0011444092
5.817 5.793 0.0018005371 0.0035705566 -6.2561035E-4
5.831 5.813 9.460449E-4 0.011642456 -0.0023498535
5.851 5.834 0.004470825 0.009857178 -0.0030212402
5.871 5.854 0.00340271 0.008117676 -0.0034332275
5.896 5.874 -6.866455E-4 0.0016937256 -0.0040893555
5.912 5.894 -5.493164E-4 0.008560181 -0.0045166016
5.931 5.914 0.0034942627 -4.5776367E-5 -0.005584717
5.951 5.934 -0.0015106201 -1.373291E-4 -0.006225586
5.973 5.954 -0.0028839111 0.002105713 -0.006225586
5.991 5.975 8.087158E-4 0.0043945313 -0.008514404
6.014 5.995 0.0052948 -0.0031280518 -0.011566162
6.031 6.015 -0.0016326904 -0.0011749268 -0.011566162
6.053 6.035 -0.001953125 0.0065612793 -0.013000488
6.073 6.055 0.0017852783 0.0046081543 -0.015731812
6.092 6.075 0.002090454 3.0517578E-4 -0.01739502
6.114 6.095 -0.005142212 -9.918213E-4 -0.018966675
6.135 6.116 -0.012878418 6.5612793E-4 -0.020614624
6.150 6.136 -0.010055542 0.0052948 -0.02218628
6.174 6.156 -0.009552002 0.0045928955 -0.02331543
6.196 6.176 -0.008987427 -0.005630493 -0.022781372
6.214 6.196 -0.013763428 -0.004714966 -0.023834229
6.233 6.216 -0.009521484 0.007095337 -0.026519775
6.253 6.236 0.005493164 0.0032348633 -0.028121948
6.279 6.257 0.0025482178 0.0024871826 -0.030838013
6.307 6.277 -0.0013885498 0.0042266846 -0.0340271
6.315 6.297 0.0033111572 0.0013427734 -0.034500122
6.330 6.317 0.0021209717 0.0078125 -0.036819458
6.351 6.337 -5.187988E-4 0.0034332275 -0.039901733
6.372 6.357 -0.0061187744 0.004989624 -0.041549683
6.391 6.377 -0.0077209473 0.015396118 -0.043121338
6.411 6.398 -0.0016479492 -0.0012054443 -0.04360962
6.431 6.418 -0.007858276 -0.008590698 -0.044799805
6.454 6.438 -0.015396118 0.012451172 -0.04875183
6.471 6.458 -0.0044555664 0.0126953125 -0.049865723
6.494 6.478 1.5258789E-4 0.0013580322 -0.0513916
6.518 6.498 -0.0056762695 0.019454956 -0.053222656
