gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
6.846 6.838 0.0032806396 0.35298157 -0.1348877
6.865 6.858 -0.17347717 0.31802368 -0.1965332
6.888 6.878 -0.38389587 0.022033691 -0.1471405
6.909 6.898 -0.36216736 -0.35377502 -0.023544312
6.926 6.918 -0.11532593 -0.49230957 0.0140686035
6.946 6.939 0.23231506 -0.1880188 0.114105225
6.965 6.959 0.33244324 0.17779541 0.05407715
6.998 6.979 0.19511414 0.34877014 -0.043899536
7.010 6.999 0.03553772 0.29542542 -0.021408081
7.026 7.019 -0.07963562 0.14494324 0.04347229
7.050 7.039 -0.18208313 -0.018981934 0.08679199
7.068 7.059 -0.2828827 -0.2325592 0.15710449
7.086 7.080 -0.20739746 -0.32107544 0.10946655
7.109 7.100 0.08227539 -0.15531921 0.080093384
7.128 7.120 0.27316284 0.25993347 -0.02079773
7.157 7.140 0.15939331 0.44718933 -0.0750885
7.166 7.160 0.01751709 0.1750946 -0.0040740967
7.184 7.180 0.05090332 -0.034744263 0.07078552
7.205 7.200 -0.034225464 -0.12760925 0.17362976
7.224 7.221 0.0025787354 -0.24923706 0.2774353
7.273 7.241 0.2701416 -0.07810974 0.18417358
7.294 7.261 0.14807129 0.22047424 0.051620483
7.306 7.281 -0.072631836 0.34268188 -0.066848755
7.323 7.301 -0.12948608 0.106552124 -0.053024292
7.343 7.321 -0.14230347 -0.16885376 0.07546997
7.362 7.341 -0.00680542 -0.2141571 0.15930176
7.384 7.362 0.21104431 0.06324768 0.1068573
7.404 7.382 0.20474243 0.28364563 0.05307007
7.423 7.402 0.1282959 0.284729 0.020599365
7.443 7.422 0.045578003 0.24569702 -0.008132935
7.464 7.442 -0.112091064 0.19702148 0.007080078
7.486 7.462 -0.13020325 0.009506226 0.13275146
7.506 7.482 0.11401367 -0.17822266 0.30445862
7.525 7.503 0.37960815 -0.14195251 0.35414124
7.550 7.523 0.37086487 0.10861206 0.23181152
7.562 7.543 0.25006104 0.35694885 0.07688904
7.582 7.563 0.12088013 0.32725525 0.059143066
7.603 7.583 -0.049713135 0.117507935 0.0980072
7.623 7.603 -0.15220642 -0.067489624 0.1465149
7.643 7.623 -0.20426941 -0.19721985 0.19084167
7.666 7.644 -0.07521057 -0.17173767 0.16493225
7.683 7.664 0.1749878 0.17959595 0.004135132
7.706 7.684 0.18156433 0.4235382 -0.06492615
7.723 7.704 0.08657837 0.24290466 -0.008422852
7.744 7.724 0.06681824 0.017562866 0.09439087
7.768 7.744 0.027359009 -0.001876831 0.17298889
7.782 7.764 0.049819946 0.15794373 0.13201904
7.804 7.785 0.015182495 0.27391052 0.052444458
7.823 7.805 -0.06034851 0.12104797 0.089538574
7.842 7.825 -0.049850464 -0.107040405 0.20466614
7.863 7.845 0.12715149 -0.14752197 0.2705841
7.885 7.865 0.26722717 0.09971619 0.18313599
7.904 7.885 0.14175415 0.3283844 0.06364441
7.921 7.905 0.0103302 0.29829407 0.048294067
7.940 7.926 -0.049057007 0.10079956 0.12913513
7.962 7.946 -0.07006836 -0.036758423 0.19955444
7.982 7.966 0.0011291504 0.04385376 0.20227051
8.001 7.986 0.13423157 0.16656494 0.2006836
8.023 8.006 0.22087097 0.32260132 0.12095642
8.044 8.026 0.09863281 0.41029358 0.053588867
8.060 8.046 -0.010818481 0.27911377 0.092819214
8.080 8.066 0.016983032 0.120010376 0.19174194
8.102 8.087 0.13186646 0.13670349 0.2588501
8.120 8.107 0.19897461 0.21617126 0.25256348
8.141 8.127 0.18486023 0.13298035 0.27314758
8.159 8.147 0.26339722 0.09358215 0.24615479
8.181 8.167 0.2674408 0.28182983 0.1138916
8.200 8.187 0.07203674 0.41781616 0.0385437
8.220 8.207 -0.036026 0.26844788 0.091049194
8.240 8.228 0.05470276 0.029174805 0.19496155
8.264 8.248 0.12797546 0.018722534 0.22094727
8.281 8.268 0.12934875 0.28485107 0.09718323
8.301 8.288 0.055603027 0.49195862 -0.022766113
8.320 8.308 -0.0055389404 0.39476013 0.010650635
8.341 8.328 0.037460327 0.084732056 0.20559692
