gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
4.067 4.053 -0.0055389404 -0.0048828125 0.11723328
4.089 4.073 0.014663696 -7.6293945E-4 0.0723114
4.109 4.093 0.022705078 0.0054473877 0.038726807
4.127 4.113 -0.01940918 -0.030044556 0.021636963
4.149 4.133 -0.06500244 -0.055130005 0.020904541
4.168 4.153 -0.015136719 -0.028945923 -0.005004883
4.192 4.173 0.072769165 0.0036315918 -0.06124878
4.210 4.194 0.086364746 -3.0517578E-4 -0.093673706
4.228 4.214 0.036239624 -0.028839111 -0.074157715
4.250 4.234 0.0017547607 -0.048416138 -0.03543091
4.268 4.254 -0.0036468506 -0.019943237 -0.012771606
4.287 4.274 0.0069274902 0.035705566 -0.004180908
4.309 4.294 0.019592285 0.034744263 0.012039185
4.330 4.314 0.01864624 -0.027633667 0.03916931
4.347 4.335 0.04763794 -0.039154053 0.059158325
4.365 4.355 0.07817078 0.010604858 0.061645508
4.386 4.375 0.0839386 0.0059661865 0.044403076
4.405 4.395 0.103759766 -0.0036773682 0.0013122559
4.425 4.415 0.12879944 0.03224182 -0.019042969
4.445 4.435 0.14427185 0.041000366 0.0063171387
4.465 4.455 0.09812927 0.048980713 0.058914185
4.485 4.475 -0.0023498535 0.051208496 0.0816803
4.507 4.496 -0.034866333 0.029006958 0.06460571
4.526 4.516 -0.017120361 0.036010742 0.024002075
4.547 4.536 -0.043899536 0.053604126 -0.0050354004
4.567 4.556 -0.10752869 0.040878296 -0.015625
4.586 4.576 -0.11784363 0.028259277 -0.034454346
4.607 4.596 -0.056900024 0.05255127 -0.03253174
4.632 4.616 9.613037E-4 0.05986023 -0.022140503
4.649 4.637 0.0026397705 0.0041503906 0.0019989014
4.668 4.657 -0.031814575 -0.053710938 0.04914856
4.690 4.677 -0.05833435 -0.06376648 0.08050537
4.707 4.697 -0.038589478 -0.07589722 0.08892822
4.727 4.717 0.014419556 -0.0650177 0.07505798
