timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1512177486.464057,0.262481,0.822298,-3.001983,0.163909,-0.092973,0.039568,0.176584,-0.732712,-0.657229,0.011481,-0.003525,-0.015515,-32.394623,-15.395073,-30.359276,,,,,,,
1512177486.484046,0.261209,0.826592,-3.003090,0.251884,-0.118398,0.005579,0.174934,-0.735627,-0.654408,-0.017372,-0.023543,-0.031032,-32.321350,-15.769966,-30.435081,,,,,,,
1512177486.504065,0.261288,0.832707,-3.006109,0.349301,-0.068005,-0.017356,0.173820,-0.739756,-0.650036,-0.016365,0.016596,0.002163,-32.396561,-15.845070,-30.209480,,,,,,,
1512177486.524054,0.263800,0.840318,-3.009731,0.447518,0.021878,-0.022020,0.173979,-0.744856,-0.644143,-0.003386,0.015684,-0.033744,-32.323929,-16.369972,-30.210365,,,,,,,
1512177486.544074,0.267228,0.850168,-3.014402,0.556058,-0.046329,-0.012151,0.174241,-0.751391,-0.636436,0.035919,-0.004010,-0.076653,-32.399826,-16.595085,-29.984825,,,,,,,
1512177486.564063,0.267350,0.861536,-3.019796,0.618098,-0.288667,-0.036614,0.172051,-0.758844,-0.628135,0.019249,0.003167,-0.079903,-32.701935,-17.045540,-30.132484,,,,,,,
1512177486.584052,0.264091,0.873152,-3.026882,0.625276,-0.522479,-0.095959,0.167691,-0.766358,-0.620141,0.009708,0.020401,-0.071540,-32.928391,-17.420876,-29.680748,,,,,,,
1512177486.604071,0.256871,0.884087,-3.035738,0.584356,-0.822602,-0.150901,0.161070,-0.773337,-0.613193,0.023653,0.037924,-0.095410,-33.081848,-18.246101,-29.154854,,,,,,,
1512177486.624060,0.243964,0.893785,-3.046301,0.547144,-1.208101,-0.240198,0.151324,-0.779449,-0.607915,-0.020113,0.026641,-0.092296,-33.757217,-18.397118,-28.549187,,,,,,,
1512177486.644080,0.228513,0.901832,-3.061587,0.466906,-1.433241,-0.427637,0.140487,-0.784464,-0.604052,-0.063598,0.063380,-0.020017,-34.437180,-19.598137,-27.644020,,,,,,,
1512177486.664069,0.213339,0.907349,-3.080253,0.368910,-1.569847,-0.569188,0.130387,-0.787874,-0.601875,-0.080705,0.127962,-0.094140,-34.889160,-20.123817,-26.890434,,,,,,,
1512177486.684088,0.199439,0.911533,-3.108202,0.391997,-1.914079,-0.950630,0.121355,-0.790444,-0.600392,-0.154451,0.175194,-0.118785,-35.640854,-20.649940,-25.534309,,,,,,,
1512177486.704077,0.194601,0.913397,3.131731,0.297615,-1.943047,-1.498985,0.118164,-0.791584,-0.599526,-0.284774,0.272343,-0.017387,-35.867538,-21.175285,-24.182655,,,,,,,
1512177486.724066,0.203383,0.909179,3.072240,0.039229,-1.925379,-1.990922,0.124098,-0.788999,-0.601730,-0.271787,0.244001,0.039154,-36.248016,-22.525841,-22.980080,,,,,,,
1512177486.744086,0.218506,0.897268,3.004167,-0.224750,-1.939114,-2.275171,0.135211,-0.781625,-0.608916,-0.102740,0.210504,0.013595,-35.580322,-24.324852,-21.411659,,,,,,,
